"airline","date_of_journey","source","destination","route","dep_time","arrival_time","total_stops","additional_info","price","journey_day","journey_month","duration_total_mins"
"Air India","2020-03-26","Kolkata","Varanasi","KOL-SUR-VAR","16:19","02:56",1,"wifi available",10547,26,3,870
"Vistara","2021-07-24","Guwahati","Kolkata","GUW-KOL","16:44","22:23",0,"limited seats",10955,24,7,885
"IndiGo","2023-08-25","Bhubaneswar","Jaipur","BHU-GOA-JAI","14:42","23:10",1,"1 long layover",7769,25,8,720
"GoAir","2022-11-10","Ahmedabad","Mumbai","AHM-PUN-MUM","07:34","12:12",1,"extra baggage allowed",7953,10,11,495
"Akasa Air","2025-11-21","Nagpur","Goa","NAG-VAR-GOA","03:30","05:55",1,"red-eye flight",4981,21,11,855
"Vistara","2022-01-06","Varanasi","Pune","VAR-CHE-RAI-PUN","03:32","09:07",2,"none",9534,6,1,450
"SpiceJet","2025-08-14","Chennai","Raipur","CHE-MUM-BHU-PAT-RAI","21:56","14:04",3,"extra baggage allowed",9078,14,8,450
"Star Air","2022-03-03","Delhi","Hyderabad","DEL-PUN-GUW-HYD","07:36","02:38",2,"red-eye flight",5823,3,3,570
"TruJet","2022-02-21","Varanasi","Patna","VAR-PAT","08:36","08:43",0,"new aircraft",2889,21,2,120
"TruJet","2023-06-19","Chennai","Delhi","CHE-HYD-BAN-DEL","02:32","05:46",2,"new aircraft",8197,19,6,840
"SpiceJet","2025-10-07","Bangalore","Bhubaneswar","BAN-SUR-MUM-PUN-BHU","12:37","16:44",3,"extra baggage allowed",15586,7,10,300
"Star Air","2024-09-14","Kolkata","Bangalore","KOL-PUN-PAT-IND-BAN","10:24","08:45",3,"1 long layover",14036,14,9,225
"TruJet","2020-06-15","Bhubaneswar","Nagpur","BHU-CHE-BAN-RAI-NAG","16:10","21:49",3,"red-eye flight",8741,15,6,150
"Akasa Air","2021-06-24","Surat","Bangalore","SUR-HYD-BAN","02:18","11:22",1,"wifi available",11969,24,6,435
"IndiGo","2021-11-01","Pune","Kolkata","PUN-KOL","04:09","11:18",0,"1 long layover",11486,1,11,270
"IndiGo","2019-11-23","Kolkata","Hyderabad","KOL-MUM-BHU-HYD","05:43","18:15",2,"none",5994,23,11,915
"Star Air","2023-02-06","Jaipur","Kolkata","JAI-MUM-KOL","19:42","12:09",1,"1 long layover",9415,6,2,585
"Akasa Air","2024-02-08","Varanasi","Indore","VAR-GOA-BHU-IND","22:59","09:22",2,"extra baggage allowed",14178,8,2,255
"Akasa Air","2023-11-05","Kolkata","Patna","KOL-PAT","06:44","23:17",0,"limited seats",10961,5,11,150
"GoAir","2019-10-26","Kolkata","Bangalore","KOL-BAN","19:47","19:26",0,"new aircraft",11408,26,10,495
"Akasa Air","2025-01-22","Ahmedabad","Lucknow","AHM-JAI-LUC","20:34","22:19",1,"new aircraft",4787,22,1,90
"Star Air","2025-07-25","Surat","Patna","SUR-PAT","18:15","02:11",0,"red-eye flight",6484,25,7,375
"Akasa Air","2019-03-22","Pune","Raipur","PUN-RAI","05:13","15:39",0,"none",6931,22,3,345
"IndiGo","2020-06-18","Surat","Indore","SUR-KOL-MUM-BHU-IND","16:09","14:35",3,"new aircraft",16738,18,6,150
"Star Air","2023-12-23","Indore","Bhubaneswar","IND-BHU","01:28","12:18",0,"new aircraft",3109,23,12,585
"AirAsia India","2023-03-25","Varanasi","Indore","VAR-IND","17:16","20:00",0,"new aircraft",11964,25,3,420
"Alliance Air","2023-09-22","Cochin","Ahmedabad","COC-GOA-CHE-AHM","09:07","11:07",2,"none",5109,22,9,450
"Star Air","2025-11-27","Raipur","Ahmedabad","RAI-AHM","23:11","00:51",0,"red-eye flight",6068,27,11,915
"Akasa Air","2021-06-25","Surat","Mumbai","SUR-COC-GUW-AHM-MUM","20:44","06:04",3,"in-flight meal not included",12973,25,6,585
"Star Air","2021-07-05","Nagpur","Patna","NAG-AHM-IND-GUW-PAT","13:29","20:41",3,"in-flight meal not included",13638,5,7,915
"SpiceJet","2019-07-23","Pune","Mumbai","PUN-DEL-MUM","16:49","06:33",1,"red-eye flight",11097,23,7,735
"SpiceJet","2025-01-08","Surat","Guwahati","SUR-PAT-GUW","23:12","22:27",1,"wifi available",7117,8,1,945
"IndiGo","2023-02-07","Mumbai","Delhi","MUM-JAI-DEL","13:32","19:55",1,"none",8453,7,2,705
"AirAsia India","2019-04-03","Jaipur","Indore","JAI-IND","04:20","09:46",0,"business class available",8577,3,4,900
"Air India","2019-10-12","Raipur","Chennai","RAI-GUW-HYD-CHE","11:38","16:36",2,"extra baggage allowed",15465,12,10,795
"GoAir","2024-11-04","Kolkata","Bangalore","KOL-BAN","06:02","04:49",0,"red-eye flight",7875,4,11,885
"Vistara","2019-06-16","Raipur","Pune","RAI-AHM-DEL-KOL-PUN","23:23","07:01",3,"1 long layover",14100,16,6,645
"SpiceJet","2023-04-01","Guwahati","Kolkata","GUW-KOL","21:18","10:25",0,"in-flight meal not included",6971,1,4,705
"IndiGo","2022-09-11","Nagpur","Kolkata","NAG-DEL-AHM-KOL","13:34","11:58",2,"business class available",9428,11,9,435
"Vistara","2022-09-26","Chennai","Surat","CHE-VAR-RAI-SUR","20:27","04:43",2,"red-eye flight",10183,26,9,210
"TruJet","2024-04-16","Raipur","Nagpur","RAI-JAI-DEL-SUR-NAG","02:20","19:09",3,"none",14702,16,4,75
"Akasa Air","2024-11-22","Goa","Kolkata","GOA-PUN-MUM-KOL","00:43","07:55",2,"1 long layover",11449,22,11,315
"SpiceJet","2020-10-10","Nagpur","Lucknow","NAG-AHM-HYD-LUC","23:11","03:09",2,"extra baggage allowed",8167,10,10,330
"IndiGo","2022-05-27","Patna","Ahmedabad","PAT-BAN-BHU-AHM","14:04","23:07",2,"red-eye flight",9650,27,5,840
"GoAir","2024-03-23","Goa","Nagpur","GOA-NAG","13:50","21:16",0,"business class available",6888,23,3,150
"AirAsia India","2022-08-05","Delhi","Hyderabad","DEL-SUR-COC-HYD","12:21","08:16",2,"1 long layover",13620,5,8,675
"TruJet","2023-12-27","Delhi","Cochin","DEL-GOA-COC","19:32","13:18",1,"limited seats",10793,27,12,885
"Akasa Air","2019-08-07","Indore","Mumbai","IND-RAI-COC-DEL-MUM","20:19","01:18",3,"limited seats",14325,7,8,390
"AirAsia India","2021-06-27","Goa","Pune","GOA-GUW-PUN","15:15","16:43",1,"new aircraft",10156,27,6,195
"Akasa Air","2023-01-27","Varanasi","Kolkata","VAR-IND-LUC-KOL","08:37","01:42",2,"red-eye flight",13628,27,1,270
"Air India","2021-02-24","Ahmedabad","Jaipur","AHM-VAR-JAI","22:52","13:51",1,"business class available",3456,24,2,930
"GoAir","2019-08-13","Ahmedabad","Goa","AHM-GOA","12:01","11:39",0,"1 long layover",2886,13,8,300
"Star Air","2022-08-20","Delhi","Bangalore","DEL-BAN","22:50","12:26",0,"new aircraft",11156,20,8,495
"GoAir","2021-05-23","Varanasi","Delhi","VAR-COC-MUM-DEL","09:22","09:03",2,"business class available",13300,23,5,810
"Alliance Air","2024-07-25","Kolkata","Hyderabad","KOL-COC-VAR-GUW-HYD","17:19","09:48",3,"none",8944,25,7,165
"Air India","2024-11-21","Lucknow","Chennai","LUC-GUW-COC-IND-CHE","08:06","14:22",3,"none",10971,21,11,300
"IndiGo","2024-07-22","Bangalore","Patna","BAN-GUW-VAR-IND-PAT","20:26","10:26",3,"extra baggage allowed",10426,22,7,855
"Air India","2024-03-16","Jaipur","Delhi","JAI-LUC-BAN-MUM-DEL","14:55","11:16",3,"limited seats",11626,16,3,885
"Star Air","2021-04-02","Varanasi","Bhubaneswar","VAR-GOA-BHU","23:11","13:10",1,"new aircraft",10358,2,4,525
"IndiGo","2019-09-28","Raipur","Nagpur","RAI-GUW-NAG","11:06","01:32",1,"wifi available",12152,28,9,750
"Alliance Air","2024-03-04","Mumbai","Surat","MUM-SUR","21:11","06:27",0,"extra baggage allowed",7184,4,3,330
"Alliance Air","2025-07-04","Surat","Kolkata","SUR-DEL-KOL","12:21","16:41",1,"limited seats",11215,4,7,240
"Air India","2023-06-28","Ahmedabad","Hyderabad","AHM-PUN-BAN-HYD","08:12","18:14",2,"1 long layover",13838,28,6,390
"SpiceJet","2024-04-04","Goa","Hyderabad","GOA-VAR-HYD","15:18","06:51",1,"business class available",7705,4,4,90
"IndiGo","2024-06-01","Bhubaneswar","Goa","BHU-LUC-GOA","05:37","07:09",1,"new aircraft",5725,1,6,540
"Akasa Air","2023-01-13","Pune","Nagpur","PUN-COC-NAG","09:44","10:36",1,"wifi available",4246,13,1,165
"Vistara","2025-10-16","Cochin","Pune","COC-PUN","12:39","20:47",0,"extra baggage allowed",3111,16,10,945
"Akasa Air","2021-08-26","Hyderabad","Bangalore","HYD-BAN","13:01","12:18",0,"new aircraft",9578,26,8,105
"AirAsia India","2019-09-03","Indore","Lucknow","IND-JAI-LUC","02:40","07:32",1,"wifi available",8273,3,9,495
"Alliance Air","2022-07-23","Kolkata","Bangalore","KOL-BAN","09:55","03:42",0,"new aircraft",7232,23,7,600
"Alliance Air","2022-11-20","Chennai","Kolkata","CHE-KOL","23:02","03:54",0,"business class available",2737,20,11,210
"Star Air","2025-07-20","Bangalore","Pune","BAN-GOA-PUN","12:04","19:25",1,"1 long layover",10624,20,7,135
"Akasa Air","2025-05-17","Raipur","Kolkata","RAI-GOA-PUN-KOL","02:42","15:26",2,"1 long layover",13118,17,5,915
"SpiceJet","2025-11-26","Patna","Bhubaneswar","PAT-BHU","05:37","00:29",0,"limited seats",6940,26,11,555
"AirAsia India","2019-10-28","Mumbai","Jaipur","MUM-JAI","03:30","20:40",0,"new aircraft",4162,28,10,825
"GoAir","2020-09-19","Indore","Mumbai","IND-MUM","18:03","05:16",0,"red-eye flight",11014,19,9,435
"Vistara","2019-07-28","Delhi","Bangalore","DEL-MUM-GUW-PUN-BAN","15:57","09:35",3,"business class available",8942,28,7,315
"SpiceJet","2019-06-11","Patna","Raipur","PAT-PUN-MUM-JAI-RAI","11:51","21:04",3,"red-eye flight",9764,11,6,810
"Akasa Air","2023-12-04","Mumbai","Ahmedabad","MUM-DEL-AHM","14:49","22:11",1,"extra baggage allowed",8958,4,12,75
"AirAsia India","2023-06-01","Nagpur","Mumbai","NAG-DEL-VAR-MUM","09:11","13:48",2,"new aircraft",10301,1,6,810
"IndiGo","2023-06-21","Chennai","Ahmedabad","CHE-LUC-NAG-BHU-AHM","13:35","04:31",3,"none",9254,21,6,240
"TruJet","2022-10-23","Bhubaneswar","Ahmedabad","BHU-CHE-DEL-IND-AHM","03:04","14:38",3,"in-flight meal not included",6728,23,10,75
"Akasa Air","2023-07-17","Guwahati","Pune","GUW-AHM-PUN","16:34","15:03",1,"red-eye flight",8972,17,7,915
"Star Air","2023-06-02","Cochin","Kolkata","COC-KOL","19:48","21:26",0,"new aircraft",10088,2,6,690
"Alliance Air","2025-03-05","Indore","Chennai","IND-COC-CHE","17:03","10:05",1,"business class available",5925,5,3,300
"Alliance Air","2022-04-23","Varanasi","Hyderabad","VAR-GUW-KOL-RAI-HYD","19:42","17:13",3,"extra baggage allowed",14190,23,4,600
"AirAsia India","2025-07-04","Indore","Ahmedabad","IND-DEL-VAR-KOL-AHM","16:40","11:24",3,"extra baggage allowed",14787,4,7,165
"IndiGo","2023-09-18","Delhi","Pune","DEL-COC-BAN-PUN","06:55","19:19",2,"in-flight meal not included",6330,18,9,705
"Alliance Air","2020-03-17","Guwahati","Bhubaneswar","GUW-BHU","12:27","13:51",0,"business class available",3575,17,3,510
"Akasa Air","2021-11-27","Bhubaneswar","Delhi","BHU-RAI-DEL","02:25","22:02",1,"extra baggage allowed",12232,27,11,345
"TruJet","2024-12-20","Chennai","Goa","CHE-GOA","11:12","09:35",0,"new aircraft",2729,20,12,810
"Air India","2023-03-12","Guwahati","Hyderabad","GUW-HYD","11:30","20:19",0,"none",11796,12,3,195
"GoAir","2023-10-03","Surat","Indore","SUR-PUN-DEL-BHU-IND","21:04","23:55",3,"none",8533,3,10,420
"Air India","2025-10-02","Varanasi","Patna","VAR-MUM-PAT","17:12","05:20",1,"business class available",12201,2,10,390
"SpiceJet","2023-07-03","Varanasi","Cochin","VAR-BAN-HYD-COC","10:07","12:12",2,"new aircraft",10501,3,7,690
"Akasa Air","2023-08-02","Guwahati","Surat","GUW-BAN-COC-SUR","19:48","22:12",2,"red-eye flight",10868,2,8,705
"Air India","2025-12-10","Cochin","Mumbai","COC-CHE-PAT-SUR-MUM","00:54","18:14",3,"1 long layover",6611,10,12,735
"AirAsia India","2024-04-17","Indore","Varanasi","IND-VAR","12:18","19:44",0,"in-flight meal not included",9605,17,4,750
"AirAsia India","2024-09-20","Kolkata","Indore","KOL-IND","15:07","15:27",0,"none",8246,20,9,915
"IndiGo","2020-02-23","Lucknow","Patna","LUC-GUW-COC-IND-PAT","23:34","10:36",3,"1 long layover",8270,23,2,360
"Vistara","2023-10-16","Bangalore","Lucknow","BAN-HYD-LUC","09:34","09:43",1,"wifi available",12700,16,10,615
"SpiceJet","2024-01-07","Kolkata","Jaipur","KOL-VAR-CHE-JAI","11:55","10:50",2,"in-flight meal not included",12232,7,1,165
"AirAsia India","2025-07-13","Ahmedabad","Mumbai","AHM-VAR-MUM","12:06","13:11",1,"extra baggage allowed",8160,13,7,765
"Alliance Air","2025-01-13","Indore","Lucknow","IND-PAT-LUC","23:28","09:55",1,"new aircraft",4937,13,1,405
"Vistara","2019-03-26","Mumbai","Pune","MUM-VAR-COC-HYD-PUN","13:29","11:09",3,"business class available",13029,26,3,510
"Star Air","2020-12-18","Varanasi","Delhi","VAR-RAI-BAN-DEL","08:24","22:23",2,"red-eye flight",14321,18,12,825
"Alliance Air","2019-09-12","Surat","Goa","SUR-LUC-MUM-GOA","10:16","08:16",2,"limited seats",13236,12,9,645
"Alliance Air","2022-07-03","Bhubaneswar","Varanasi","BHU-MUM-VAR","04:12","00:51",1,"limited seats",7175,3,7,945
"SpiceJet","2019-09-17","Delhi","Lucknow","DEL-MUM-BHU-JAI-LUC","13:02","16:09",3,"limited seats",16639,17,9,405
"GoAir","2025-04-26","Hyderabad","Bangalore","HYD-MUM-RAI-BAN","18:21","06:58",2,"wifi available",7678,26,4,600
"TruJet","2025-08-09","Surat","Patna","SUR-RAI-PAT","06:35","16:21",1,"new aircraft",7496,9,8,780
"IndiGo","2023-03-17","Lucknow","Kolkata","LUC-COC-SUR-VAR-KOL","07:10","09:45",3,"wifi available",16177,17,3,375
"Akasa Air","2024-06-04","Ahmedabad","Cochin","AHM-VAR-CHE-HYD-COC","02:36","11:21",3,"new aircraft",13780,4,6,390
"GoAir","2025-07-22","Chennai","Varanasi","CHE-RAI-VAR","05:00","02:46",1,"business class available",10565,22,7,795
"Vistara","2020-01-13","Bangalore","Indore","BAN-GOA-CHE-BHU-IND","21:53","21:32",3,"limited seats",12119,13,1,450
"AirAsia India","2020-06-05","Guwahati","Hyderabad","GUW-HYD","10:03","14:02",0,"business class available",6373,5,6,570
"Air India","2022-08-24","Chennai","Guwahati","CHE-MUM-GUW","05:11","22:27",1,"extra baggage allowed",5292,24,8,555
"Akasa Air","2025-07-17","Varanasi","Goa","VAR-NAG-JAI-SUR-GOA","03:40","03:33",3,"limited seats",12110,17,7,690
"Alliance Air","2025-02-13","Hyderabad","Varanasi","HYD-IND-COC-BHU-VAR","10:50","10:59",3,"none",8299,13,2,705
"AirAsia India","2025-11-10","Jaipur","Nagpur","JAI-HYD-NAG","12:30","09:06",1,"wifi available",5541,10,11,375
"Star Air","2024-10-18","Indore","Guwahati","IND-VAR-GUW","21:38","05:23",1,"extra baggage allowed",6978,18,10,375
"Akasa Air","2022-11-03","Patna","Chennai","PAT-DEL-HYD-CHE","22:36","13:10",2,"red-eye flight",10706,3,11,135
"IndiGo","2019-08-13","Bangalore","Mumbai","BAN-NAG-MUM","06:36","08:00",1,"red-eye flight",12585,13,8,525
"Akasa Air","2020-08-20","Surat","Jaipur","SUR-RAI-KOL-DEL-JAI","08:36","12:47",3,"limited seats",16150,20,8,390
"GoAir","2020-12-06","Patna","Ahmedabad","PAT-GUW-DEL-AHM","10:14","06:29",2,"1 long layover",5933,6,12,645
"TruJet","2019-08-09","Bangalore","Patna","BAN-MUM-SUR-PAT","04:02","00:49",2,"new aircraft",12571,9,8,330
"TruJet","2021-12-03","Hyderabad","Ahmedabad","HYD-GUW-AHM","12:16","06:42",1,"extra baggage allowed",7907,3,12,180
"Akasa Air","2022-02-13","Raipur","Goa","RAI-BHU-GOA","23:55","23:39",1,"none",11403,13,2,735
"Star Air","2024-12-01","Delhi","Kolkata","DEL-PUN-MUM-KOL","13:46","19:57",2,"red-eye flight",13462,1,12,600
"Star Air","2024-05-07","Lucknow","Mumbai","LUC-BAN-JAI-COC-MUM","06:48","23:00",3,"in-flight meal not included",14834,7,5,435
"Alliance Air","2023-02-10","Raipur","Bhubaneswar","RAI-KOL-GUW-PUN-BHU","19:33","19:56",3,"1 long layover",12514,10,2,915
"Akasa Air","2022-02-08","Delhi","Ahmedabad","DEL-VAR-CHE-KOL-AHM","02:23","14:41",3,"1 long layover",17698,8,2,405
"IndiGo","2020-02-11","Varanasi","Kolkata","VAR-AHM-RAI-KOL","03:29","00:28",2,"wifi available",10413,11,2,255
"Air India","2021-06-07","Varanasi","Guwahati","VAR-SUR-MUM-GUW","23:31","02:10",2,"wifi available",8722,7,6,150
"SpiceJet","2024-07-14","Goa","Chennai","GOA-KOL-CHE","12:21","09:55",1,"business class available",4341,14,7,195
"Akasa Air","2020-09-19","Lucknow","Pune","LUC-IND-GUW-PUN","05:32","04:05",2,"business class available",7009,19,9,450
"Alliance Air","2020-04-04","Mumbai","Goa","MUM-JAI-GOA","12:17","20:06",1,"new aircraft",10604,4,4,150
"Air India","2021-05-03","Varanasi","Cochin","VAR-MUM-GUW-HYD-COC","14:40","06:19",3,"extra baggage allowed",10501,3,5,915
"IndiGo","2019-01-28","Indore","Pune","IND-MUM-LUC-PUN","12:58","07:44",2,"red-eye flight",11047,28,1,690
"IndiGo","2023-10-09","Patna","Ahmedabad","PAT-AHM","04:56","15:15",0,"1 long layover",6259,9,10,615
"Alliance Air","2021-01-18","Nagpur","Goa","NAG-LUC-DEL-RAI-GOA","03:19","01:42",3,"1 long layover",10340,18,1,315
"Akasa Air","2019-03-19","Bhubaneswar","Mumbai","BHU-BAN-MUM","18:23","07:48",1,"wifi available",4586,19,3,825
"SpiceJet","2025-08-09","Delhi","Cochin","DEL-SUR-RAI-IND-COC","22:57","08:35",3,"new aircraft",12843,9,8,105
"Akasa Air","2020-02-12","Hyderabad","Mumbai","HYD-MUM","09:44","21:24",0,"none",11409,12,2,720
"AirAsia India","2019-03-26","Bangalore","Surat","BAN-COC-IND-LUC-SUR","13:49","20:59",3,"limited seats",14443,26,3,225
"Akasa Air","2020-03-27","Varanasi","Patna","VAR-IND-PAT","09:43","04:58",1,"extra baggage allowed",12658,27,3,405
"Star Air","2025-09-21","Guwahati","Indore","GUW-PUN-RAI-IND","10:53","16:11",2,"extra baggage allowed",8189,21,9,510
"Alliance Air","2024-03-22","Goa","Surat","GOA-HYD-KOL-SUR","01:09","07:02",2,"extra baggage allowed",10159,22,3,525
"Akasa Air","2023-05-17","Jaipur","Guwahati","JAI-GUW","19:01","08:05",0,"extra baggage allowed",6186,17,5,780
"Vistara","2024-02-15","Bangalore","Ahmedabad","BAN-PUN-CHE-MUM-AHM","22:54","21:34",3,"none",14967,15,2,660
"GoAir","2022-09-21","Nagpur","Bangalore","NAG-PAT-PUN-BAN","15:50","14:53",2,"wifi available",11620,21,9,345
"SpiceJet","2022-09-01","Varanasi","Patna","VAR-DEL-SUR-PAT","00:30","00:54",2,"new aircraft",13959,1,9,555
"Akasa Air","2023-11-07","Lucknow","Varanasi","LUC-VAR","16:12","04:27",0,"extra baggage allowed",5896,7,11,510
"SpiceJet","2025-05-24","Patna","Delhi","PAT-VAR-SUR-LUC-DEL","04:16","07:33",3,"business class available",16720,24,5,465
"Alliance Air","2023-06-11","Goa","Guwahati","GOA-GUW","16:12","20:53",0,"red-eye flight",3371,11,6,645
"Air India","2021-09-25","Cochin","Patna","COC-AHM-BAN-HYD-PAT","11:25","07:09",3,"business class available",6707,25,9,180
"TruJet","2022-01-15","Delhi","Surat","DEL-PUN-COC-PAT-SUR","18:56","21:13",3,"wifi available",13159,15,1,90
"IndiGo","2022-10-20","Surat","Lucknow","SUR-DEL-LUC","12:58","14:59",1,"none",9606,20,10,315
"AirAsia India","2019-07-03","Bhubaneswar","Lucknow","BHU-IND-JAI-AHM-LUC","22:43","03:49",3,"limited seats",12568,3,7,315
"Air India","2025-07-09","Chennai","Ahmedabad","CHE-RAI-MUM-AHM","08:29","07:14",2,"red-eye flight",12996,9,7,540
"SpiceJet","2022-04-26","Kolkata","Ahmedabad","KOL-CHE-JAI-MUM-AHM","20:42","00:04",3,"none",11265,26,4,180
"Star Air","2025-05-19","Bangalore","Patna","BAN-PUN-RAI-GUW-PAT","04:21","18:21",3,"red-eye flight",11611,19,5,300
"GoAir","2022-01-26","Lucknow","Chennai","LUC-NAG-JAI-KOL-CHE","04:40","21:20",3,"red-eye flight",14506,26,1,270
"Vistara","2025-11-07","Jaipur","Delhi","JAI-RAI-LUC-GUW-DEL","18:08","05:51",3,"wifi available",14618,7,11,75
"Vistara","2022-02-08","Ahmedabad","Varanasi","AHM-GOA-MUM-GUW-VAR","10:17","05:08",3,"red-eye flight",6689,8,2,870
"Star Air","2022-06-16","Hyderabad","Goa","HYD-PAT-GOA","15:39","16:18",1,"none",13158,16,6,105
"Star Air","2024-11-14","Kolkata","Jaipur","KOL-COC-JAI","19:58","08:02",1,"business class available",4018,14,11,810
"GoAir","2024-10-08","Ahmedabad","Lucknow","AHM-RAI-CHE-IND-LUC","07:20","19:53",3,"extra baggage allowed",11420,8,10,420
"Star Air","2020-04-12","Indore","Jaipur","IND-GOA-MUM-JAI","22:03","16:35",2,"1 long layover",13626,12,4,900
"Vistara","2023-03-08","Bangalore","Indore","BAN-SUR-IND","17:55","11:46",1,"new aircraft",8104,8,3,840
"TruJet","2019-05-04","Bhubaneswar","Nagpur","BHU-VAR-NAG","22:48","10:59",1,"extra baggage allowed",9537,4,5,915
"IndiGo","2023-07-22","Cochin","Raipur","COC-AHM-JAI-KOL-RAI","03:01","12:55",3,"business class available",9643,22,7,390
"Alliance Air","2025-01-14","Cochin","Hyderabad","COC-HYD","05:26","10:29",0,"new aircraft",7985,14,1,435
"TruJet","2019-01-03","Goa","Patna","GOA-SUR-JAI-BAN-PAT","03:50","14:12",3,"in-flight meal not included",11581,3,1,780
"Akasa Air","2021-02-12","Hyderabad","Patna","HYD-PAT","04:37","21:05",0,"limited seats",9035,12,2,135
"Vistara","2025-03-05","Jaipur","Patna","JAI-SUR-PAT","17:49","18:41",1,"wifi available",9638,5,3,465
"Akasa Air","2022-02-24","Ahmedabad","Surat","AHM-SUR","19:38","22:28",0,"1 long layover",6079,24,2,210
"IndiGo","2019-12-22","Lucknow","Goa","LUC-GOA","17:59","23:31",0,"none",5798,22,12,390
"AirAsia India","2021-10-26","Delhi","Guwahati","DEL-JAI-GUW","04:40","10:53",1,"business class available",6569,26,10,765
"Alliance Air","2024-02-28","Chennai","Delhi","CHE-DEL","13:41","05:16",0,"in-flight meal not included",8623,28,2,180
"AirAsia India","2022-04-22","Indore","Raipur","IND-BAN-RAI","02:51","23:06",1,"none",5539,22,4,630
"Alliance Air","2025-10-25","Ahmedabad","Indore","AHM-NAG-IND","21:27","12:22",1,"red-eye flight",6980,25,10,195
"TruJet","2019-06-18","Patna","Bhubaneswar","PAT-BHU","09:14","08:04",0,"wifi available",7417,18,6,180
"AirAsia India","2024-10-27","Delhi","Indore","DEL-IND","00:45","13:26",0,"none",11530,27,10,825
"Star Air","2023-03-10","Nagpur","Ahmedabad","NAG-PUN-COC-KOL-AHM","11:01","01:57",3,"red-eye flight",10186,10,3,870
"IndiGo","2021-08-08","Chennai","Varanasi","CHE-VAR","04:09","12:04",0,"1 long layover",10577,8,8,660
"IndiGo","2025-08-18","Delhi","Surat","DEL-GOA-SUR","12:22","12:26",1,"in-flight meal not included",6695,18,8,750
"Air India","2020-06-14","Kolkata","Lucknow","KOL-MUM-CHE-VAR-LUC","10:33","01:49",3,"limited seats",12700,14,6,690
"Akasa Air","2025-03-18","Patna","Ahmedabad","PAT-BAN-GUW-VAR-AHM","19:06","18:09",3,"business class available",7022,18,3,690
"Akasa Air","2020-10-13","Delhi","Bangalore","DEL-IND-BAN","19:59","15:47",1,"extra baggage allowed",4028,13,10,615
"GoAir","2021-11-13","Bhubaneswar","Mumbai","BHU-COC-MUM","00:28","17:49",1,"new aircraft",8292,13,11,840
"Air India","2020-12-14","Varanasi","Raipur","VAR-AHM-SUR-LUC-RAI","19:38","07:08",3,"business class available",15385,14,12,690
"Akasa Air","2023-05-03","Pune","Guwahati","PUN-CHE-GUW","21:08","17:30",1,"new aircraft",7183,3,5,900
"Star Air","2023-05-18","Ahmedabad","Patna","AHM-KOL-GOA-PAT","21:49","03:37",2,"business class available",5365,18,5,165
"Vistara","2024-02-15","Pune","Guwahati","PUN-LUC-HYD-GUW","06:55","09:21",2,"limited seats",6084,15,2,150
"IndiGo","2023-09-06","Guwahati","Nagpur","GUW-NAG","03:09","20:34",0,"wifi available",8516,6,9,525
"TruJet","2022-03-23","Pune","Raipur","PUN-DEL-MUM-RAI","10:04","15:17",2,"new aircraft",5084,23,3,165
"Vistara","2021-02-27","Hyderabad","Nagpur","HYD-NAG","10:51","11:12",0,"in-flight meal not included",8469,27,2,375
"IndiGo","2019-02-24","Lucknow","Hyderabad","LUC-PAT-RAI-JAI-HYD","16:06","10:01",3,"new aircraft",9268,24,2,300
"Star Air","2021-09-18","Jaipur","Lucknow","JAI-LUC","06:16","02:36",0,"new aircraft",5281,18,9,135
"GoAir","2020-01-03","Chennai","Cochin","CHE-PAT-BAN-RAI-COC","01:15","13:48",3,"wifi available",13924,3,1,645
"SpiceJet","2023-04-27","Delhi","Guwahati","DEL-JAI-GUW","12:51","00:32",1,"none",8935,27,4,495
"Star Air","2021-05-04","Bangalore","Patna","BAN-JAI-COC-PAT","22:50","07:21",2,"wifi available",10096,4,5,585
"Air India","2024-09-05","Lucknow","Varanasi","LUC-COC-BAN-DEL-VAR","09:33","01:36",3,"none",15338,5,9,300
"IndiGo","2024-01-13","Guwahati","Delhi","GUW-DEL","19:06","23:28",0,"wifi available",4389,13,1,120
"GoAir","2024-10-03","Mumbai","Chennai","MUM-PUN-DEL-SUR-CHE","10:44","01:37",3,"extra baggage allowed",16031,3,10,210
"Akasa Air","2020-03-15","Delhi","Goa","DEL-PUN-GOA","23:56","12:18",1,"wifi available",7674,15,3,330
"Star Air","2022-08-16","Patna","Lucknow","PAT-AHM-LUC","17:22","15:42",1,"extra baggage allowed",6052,16,8,615
"Akasa Air","2019-12-21","Delhi","Kolkata","DEL-HYD-JAI-VAR-KOL","18:20","23:08",3,"red-eye flight",17900,21,12,660
"Star Air","2022-10-08","Cochin","Pune","COC-AHM-SUR-PUN","11:10","02:59",2,"1 long layover",11119,8,10,105
"AirAsia India","2025-03-09","Nagpur","Surat","NAG-IND-SUR","06:56","08:35",1,"limited seats",9883,9,3,780
"GoAir","2020-09-19","Mumbai","Patna","MUM-VAR-KOL-PAT","05:37","00:06",2,"in-flight meal not included",7900,19,9,705
"Star Air","2021-09-22","Nagpur","Cochin","NAG-GOA-HYD-COC","00:16","05:57",2,"extra baggage allowed",7424,22,9,210
"GoAir","2021-04-17","Indore","Bangalore","IND-CHE-BAN","05:34","14:48",1,"extra baggage allowed",6983,17,4,165
"TruJet","2022-07-01","Surat","Indore","SUR-KOL-IND","10:27","22:14",1,"business class available",12043,1,7,285
